study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,phi-4-mini-instruct,leace_swap_max_r1_a1,mean |C_raw|,0.40859375,160.0,160.0,0.35,0.4703125
A1,phi-4-mini-instruct,leace_swap_max_r1_a1,mean |C_logp|,0.648520827293396,160.0,160.0,0.5535238975286484,0.7482624846696854
A1,phi-4-mini-instruct,leace_swap_max_r1_a1,mean |C_margin|,0.6547267220237039,160.0,160.0,0.534792458546626,0.7844308939847079
A1,phi-4-mini-instruct,leace_swap_small_r1_a1,mean |C_raw|,0.4,160.0,160.0,0.3453125,0.4578125
A1,phi-4-mini-instruct,leace_swap_small_r1_a1,mean |C_logp|,0.6346782922744751,160.0,160.0,0.5442315185070038,0.7320777082443237
A1,phi-4-mini-instruct,leace_swap_small_r1_a1,mean |C_margin|,0.6466528037925819,160.0,160.0,0.5226346040700938,0.7804397771884868
A1,phi-4-mini-instruct,random_ortho_1_r1_a1,mean |C_raw|,0.413671875,160.0,160.0,0.3546875,0.476171875
A1,phi-4-mini-instruct,random_ortho_1_r1_a1,mean |C_logp|,0.6671287059783936,160.0,160.0,0.571669310927391,0.7671947091817856
A1,phi-4-mini-instruct,random_ortho_1_r1_a1,mean |C_margin|,0.6515030675120168,160.0,160.0,0.5237196909916865,0.7881761690238853
A1,phi-4-mini-instruct,random_ortho_2_r1_a1,mean |C_raw|,0.41953125,160.0,160.0,0.3625,0.4800878906249999
A1,phi-4-mini-instruct,random_ortho_2_r1_a1,mean |C_logp|,0.6647518396377563,160.0,160.0,0.565659310221672,0.7709611940383911
A1,phi-4-mini-instruct,random_ortho_2_r1_a1,mean |C_margin|,0.6306437455214463,160.0,160.0,0.5072804751334252,0.764349289373918
A1,phi-4-mini-instruct,random_ortho_3_r1_a1,mean |C_raw|,0.428515625,160.0,160.0,0.369140625,0.49140625
A1,phi-4-mini-instruct,random_ortho_3_r1_a1,mean |C_logp|,0.6812037944793701,160.0,160.0,0.580575088262558,0.7876395761966706
A1,phi-4-mini-instruct,random_ortho_3_r1_a1,mean |C_margin|,0.6289565222603934,160.0,160.0,0.5016126288996114,0.765013685474148
A1,phi-4-mini-instruct,unedited_r0_a0,mean |C_raw|,0.42109375,160.0,160.0,0.362109375,0.48359375
A1,phi-4-mini-instruct,unedited_r0_a0,mean |C_logp|,0.6685654401779175,160.0,160.0,0.5713980412483215,0.7714755755662918
A1,phi-4-mini-instruct,unedited_r0_a0,mean |C_margin|,0.6224174994926948,160.0,160.0,0.5019024415449663,0.7532161495902321
A2,gemma-2-2b-it,B/last-pad,mean |C_answer| on unequal-length pairs,2.5834598330346044,54.0,42.0,1.9329830293424726,3.354944386429443
